DBN,School Name,averageSATMath,averageSATReading,averageSATWriting
03M402,The Urban Assembly School for Green Careers,393,371,378
03M403,The Global Learning Collaborative,406,407,413
03M415,Wadleigh Secondary School for the Performing & Vis,381,401,392
03M417,FRANK McCOURT HIGH SCHOOL,489,491,500
03M479,Beacon High School,583,586,595
03M485,Fiorello H. LaGuardia High School of Music & Art a,592,592,597
03M492,"High School for Law, Advocacy and Community Justic",415,417,402
03M494,High School of Arts and Technology,421,428,406
03M541,Manhattan / Hunter Science High School,581,531,535
03M860,Frederick Douglass Academy II Secondary School,390,384,373
04M409,Coalition School for Social Change,344,368,367
04M435,Manhattan Center for Science and Mathematics,556,505,495
04M495,Park East High School,429,433,435
04M555,Central Park East High School,483,468,439
04M610,Young Women's Leadership School,478,465,472
04M680,"Heritage School, The",385,380,370
05M304,Mott Hall High School,416,445,440
05M362,Columbia Secondary School,583,561,546
05M367,Academy for Social Action: A College Board School,357,349,365
05M369,Urban Assembly School for the Performing Arts,379,399,388
05M499,Frederick Douglass Academy,463,452,450
05M670,Thurgood Marshall Academy for Learning and Social,402,394,400
05M685,Bread & Roses Integrated Arts High School,376,375,370
05M692,"High School for Mathematics, Science and Engineeri",683,610,596
06M293,City College Academy of the Arts,495,445,450
06M346,Community Health Academy of the Heights,387,389,385
06M348,Washington Heights Expeditionary Learning School,443,423,434
06M462,The College Academy,367,377,363
06M463,High School for Media and Communications,378,381,383
06M467,High School for Law and Public Service,401,394,381
06M468,High School for Health Careers and Sciences,374,385,389
06M540,A. Philip Randolph Campus High School,459,453,447
06M552,Gregorio Luperon High School for Science and Mathe,383,355,352
07X221,South Bronx Preparatory: A College Board School,419,414,394
07X334,International Community High School,345,338,312
07X427,Community School for Social Justice,380,382,362
07X473,Mott Haven Village Preparatory High School,377,373,369
07X495,University Heights Secondary School,420,446,424
07X500,Hostos-Lincoln Academy of Science,463,451,435
07X527,Bronx Leadership Academy II High School,384,355,361
07X547,New Explorers High School,390,398,376
07X548,Urban Assembly School for Careers in Sports,402,405,395
07X551,The Urban Assembly Bronx Academy of Letters,398,400,405
07X600,Alfred E. Smith Career and Technical Education Hig,390,373,371
07X670,Health Opportunities High School,374,386,382
08X269,Bronx Studio School for Writers and Artists,417,412,403
08X282,Women's Academy of Excellence,386,390,389
08X293,Renaissance High School for Musical Theater & Tech,390,411,393
08X305,Pablo Neruda Academy,394,384,383
08X312,Millennium Art Academy,396,413,395
08X332,Holcombe L. Rucker School of Community Research,376,372,369
08X367,"Archimedes Academy for Math, Science and Technolog",418,430,403
08X376,Antonia Pantoja Preparatory Academy: A College Boa,435,415,423
08X405,Herbert H. Lehman High School,426,419,407
08X452,Bronx Guild,365,393,357
08X519,Felisa Rincon de Gautier Institute for Law and Pub,389,408,413
08X530,Banana Kelly High School,378,391,378
08X650,Jane Addams High School for Academic Careers,342,360,354
09X227,Bronx Collegiate Academy,395,401,382
09X231,Eagle Academy for Young Men,398,410,397
09X241,Urban Assembly School for Applied Math and Science,445,418,422
09X250,Eximius College Preparatory Academy: A College Boa,400,391,397
09X252,Mott Hall Bronx High School,417,399,398
09X260,Bronx Center for Science and Mathematics,513,468,485
09X263,Validus Preparatory Academy: An Expeditionary Lear,382,375,384
09X297,Morris Academy for Collaborative Studies,407,389,386
09X324,Bronx Early College Academy for Teaching & Learnin,424,413,409
09X329,DreamYard Preparatory School,385,385,388
09X365,Academy for Language and Technology,371,334,348
09X403,Bronx International High School,355,330,320
09X404,School for Excellence,377,385,383
09X412,Bronx High School of Business,365,360,346
09X413,Bronx High School for Medical Science,431,421,426
09X414,Jonathan Levin High School for Media and Communica,347,344,330
09X505,"Bronx School for Law, Government and Justice",403,409,415
09X517,Frederick Douglass Academy III Secondary School,387,386,386
09X525,Bronx Leadership Academy High School,375,372,374
09X543,High School for Violin and Dance,363,401,396
10X141,Riverdale / Kingsbridge Academy (Middle School / H,496,485,476
10X213,Bronx Engineering and Technology Academy,394,406,391
10X225,Theatre Arts Production Company School,402,421,410
10X237,"The Marie Curie School for Medicine, Nursing, and",423,420,425
10X243,West Bronx Academy for the Future,404,383,378
10X268,Kingsbridge International High School,366,311,310
10X284,Bronx School of Law and Finance,384,394,366
10X342,International School for Liberal Arts,390,387,379
10X368,In-Tech Academy (M.S. / High School 368),426,419,404
10X374,Knowledge and Power Preparatory Academy Internatio,408,417,404
10X433,High School for Teaching and the Professions,372,361,369
10X434,Belmont Preparatory High School,413,408,402
10X437,Fordham High School for the Arts,398,404,412
10X438,Fordham Leadership Academy for Business and Techno,355,373,368
10X439,Bronx High School for Law and Community Service,401,402,386
10X440,DeWitt Clinton High School,445,436,433
10X442,"Celia Cruz Bronx High School of Music, The",417,434,425
10X445,Bronx High School of Science,714,660,667
10X477,Marble Hill High School for International Studies,451,417,423
10X546,Bronx Theatre High School,382,384,390
10X549,Discovery High School,432,396,395
10X660,Grace Dodge Career and Technical Education High Sc,343,366,346
10X696,High School of American Studies at Lehman College,669,672,672
11X249,Bronx Health Sciences High School,407,421,427
11X253,Bronx High School for Writing and Communication Ar,380,437,425
11X265,Bronx Lab School,407,416,401
11X270,Academy for Scholarship and Entrepreneurship: A Co,392,408,400
11X275,High School of Computers and Technology,396,399,377
11X288,Collegiate Institute for Math and Science,488,461,458
11X290,Bronx Academy of Health Careers,386,380,391
11X299,Astor Collegiate Academy,422,417,409
11X418,Bronx High School for the Visual Arts,408,428,404
11X455,Harry S Truman High School,400,401,391
11X508,Bronxdale High School,418,432,436
11X509,High School of Language and Innovation,356,340,320
11X513,New World High School,407,363,358
11X514,The Bronxwood Preparatory Academy,392,408,392
11X542,Pelham Preparatory Academy,420,433,425
11X544,High School for Contemporary Arts,367,381,361
11X545,Bronx Aerospace High School,403,410,393
12X242,Mott Hall V,430,422,414
12X248,"Metropolitan High School, The",387,388,386
12X251,Explorations Academy,377,372,365
12X267,Bronx Latin,394,381,363
12X271,East Bronx Academy for the Future,418,406,408
12X278,Peace and Diversity Academy,366,362,365
12X372,Urban Assembly School for Wildlife Conservation,393,397,379
12X388,Pan American International High School at Monroe,317,315,292
12X478,THE CINEMA SCHOOL,430,449,448
12X479,Bronx Career and College Preparatory High School,370,379,381
12X511,Bronx Envision Academy,364,385,366
12X521,The Metropolitan Soundview High School,444,428,422
12X550,High School of World Cultures,356,359,347
12X682,Fannie Lou Hamer Freedom High School,345,347,339
12X684,Wings Academy,379,372,373
12X692,Monroe Academy for Visual Arts & Design,361,354,351
13K265,Dr. Susan S. McKinney Secondary School of the Arts,332,346,350
13K350,Urban Assembly High School of Music and Art,372,372,361
13K412,"Brooklyn Community High School of Communication, A",358,386,380
13K419,"Science Skills Center High School for Science, Tec",399,397,386
13K430,Brooklyn Technical High School,682,608,606
13K439,Brooklyn International High School,432,334,333
13K483,The Urban Assembly School for Law and Justice,446,443,430
13K499,ACORN Community High School,379,395,385
13K527,Urban Assembly Institute of Math and Science for Y,397,415,407
13K595,Bedford Academy High School,505,464,456
13K605,George Westinghouse Career and Technical Education,394,422,400
13K670,Benjamin Banneker Academy,479,484,472
13K674,"City Polytechnic High School of Engineering, Archi",503,477,427
14K071,Juan Morel Campos Secondary School,366,356,353
14K449,"Brooklyn Latin School, The",625,588,591
14K454,Green School: An Academy for Environmental Careers,384,398,399
14K474,PROGRESS High School for Professional Careers,380,377,384
14K477,School for Legal Studies,393,390,394
14K478,"The High School for Enterprise, Business and Techn",463,446,425
14K488,Brooklyn Preparatory High School,391,406,391
14K558,Williamsburg High School for Architecture and Desi,415,424,407
14K561,Williamsburg Preparatory School,443,440,430
14K586,Lyons Community School,374,376,357
14K610,Automotive High School,367,381,328
14K632,Frances Perkins Academy,399,413,400
14K685,El Puente Academy for Peace and Justice,344,380,379
15K429,Brooklyn School for Global Studies,393,381,402
15K448,Brooklyn Secondary School for Collaborative Studie,401,411,404
15K462,Secondary School for Law,420,424,414
15K463,Secondary School for Journalism,408,435,415
15K464,Park Slope Collegiate,405,377,395
15K497,School for International Studies,417,406,394
15K519,Cobble Hill School of American Studies,416,420,402
15K656,Brooklyn High School of the Arts,439,441,436
15K667,Sunset Park High School,398,380,381
15K684,Millennium Brooklyn HS,553,551,539
16K455,Boys and Girls High School,399,392,394
16K498,Brooklyn High School for Law and Technology,395,401,383
16K594,Gotham Professional Arts Academy,377,396,386
16K688,The Brooklyn Academy of Global Finance,395,382,391
17K122,Pathways in Technology Early College High School (,446,442,410
17K382,Academy for College Preparation and Career Explora,386,397,393
17K408,Academy of Hospitality and Tourism,374,385,375
17K524,International High School at Prospect Heights,344,302,300
17K528,The High School for Global Citizenship,377,386,375
17K531,"School for Human Rights, The",398,411,400
17K533,School for Democracy and  Leadership,386,385,390
17K537,High School for Youth and Community Development at,360,382,359
17K539,High School for Service & Learning at Erasmus,377,382,356
17K543,"Science, Technology and Research Early College Hig",496,491,484
17K546,High School for Public Service: Heroes  of Tomorro,468,454,464
17K547,Brooklyn Academy of Science and the Environment,419,411,416
17K548,Brooklyn School for Music & Theatre,382,393,377
17K590,Medgar Evers College Preparatory School,525,500,481
17K600,Clara Barton High School,408,424,407
17K751,Academy for Health Careers,406,405,396
18K563,It Takes a Village Academy,364,374,361
18K566,Brooklyn Generation School,392,406,403
18K567,Brooklyn Theatre Arts High School,379,393,373
18K569,Kurt Hahn Expeditionary Learning School,378,394,388
18K576,Victory Collegiate High School,386,408,402
18K589,Arts & Media Preparatory Academy,370,383,374
18K617,High School for Innovation in Advertising and Medi,390,410,397
18K629,Cultural Academy for the Arts and Sciences,382,395,384
18K633,High School for Medical Professions,404,427,424
18K637,Academy for Conservation and the Environment,381,397,390
18K642,Urban Action Academy,362,396,393
19K404,Academy for Young Writers,382,413,391
19K409,East New York Family Academy,464,451,421
19K502,FDNY High School for Fire and Life Safety,365,369,357
19K504,High School for Civil Rights,391,373,376
19K507,Performing Arts and Technology High School,375,393,394
19K510,World Academy for Total Community Health High Scho,380,389,384
19K583,Multicultural High School,319,323,284
19K615,Transit Tech Career and Technical Education High S,387,387,384
19K618,Academy of Innovative Technology,395,376,359
19K639,Brooklyn Lab School,383,376,370
19K659,Cypress Hills Collegiate Preparatory School,365,370,362
19K660,W. H. Maxwell Career and Technical Education High,326,333,350
19K683,"The School for Classics: An Academy of Thinkers, W",387,391,383
20K445,New Utrecht High School,488,422,417
20K485,High School of  Telecommunication Arts and Technol,475,440,445
20K490,Fort Hamilton High School,513,456,451
20K505,Franklin Delano Roosevelt High School,504,411,407
20K609,Urban Assembly School for Criminal Justice,428,413,417
21K337,International High School at Lafayette,424,343,337
21K344,Rachel Carson High School for Coastal Studies,436,430,421
21K348,High School of Sports Management,367,374,361
21K410,Abraham Lincoln High School,441,422,422
21K468,Kingsborough Early College School,474,462,449
21K525,Edward R. Murrow High School,500,479,472
21K540,John Dewey High School,512,418,396
21K559,Life Academy High School for Film and Music,369,379,378
21K572,Expeditionary Learning School for Community Leader,420,396,396
21K620,William E. Grady Career and Technical Education Hi,416,423,387
21K690,Brooklyn Studio Secondary School,458,434,434
22K405,Midwood High School,550,514,516
22K425,James Madison High School,492,450,444
22K495,Sheepshead Bay High School,381,382,367
22K535,Leon M. Goldstein High School for the Sciences,563,534,543
22K555,Brooklyn College Academy,502,495,493
23K493,Brooklyn Collegiate: A College Board School,394,395,399
23K514,Frederick Douglass Academy VII High School,400,407,394
23K697,Teachers Preparatory High School,394,399,412
24Q264,Academy of Finance and  Enterprise,489,456,459
24Q267,High School of Applied Communication,435,437,441
24Q293,Civic Leadership Academy,435,424,418
24Q296,Pan American International High School,340,320,318
24Q299,Bard High School Early College Queens,631,598,610
24Q455,Newtown High School,434,401,389
24Q485,Grover Cleveland High School,452,422,416
24Q520,Middle College High School at LaGuardia Community,377,389,377
24Q530,International High School at LaGuardia Community C,425,367,365
24Q550,High School for Arts and Business,413,405,393
24Q560,"Robert F. Wagner, Jr. Secondary School for Arts an",478,445,445
24Q585,Maspeth High School,476,471,480
24Q600,Queens Vocational and Technical High School,467,436,432
24Q610,Aviation Career & Technical Education High School,511,464,456
25Q252,"Queens School of Inquiry, The",516,493,486
25Q263,Flushing International High School,481,323,323
25Q281,East-West School of International Studies,521,457,451
25Q285,World Journalism Preparatory: A College Board Scho,484,491,487
25Q425,John Bowne High School,467,422,425
25Q460,Flushing High School,444,407,405
25Q525,Townsend Harris High School,680,640,661
25Q670,Robert F. Kennedy Community High School,460,426,423
26Q415,Benjamin N. Cardozo High School,563,505,510
26Q430,Francis Lewis High School,562,483,485
26Q435,Martin Van Buren High School,397,396,391
26Q495,Bayside High School,523,479,485
26Q566,"Queens High School of Teaching, Liberal Arts and t",453,434,439
27Q260,Frederick Douglass Academy VI High School,410,418,407
27Q262,Channel View School for Research,427,430,423
27Q302,"Queens High School for Information, Research, and",372,362,352
27Q308,Robert H. Goddard High School of Communication Art,426,435,424
27Q309,Academy of Medical Technology: A College Board Sch,422,424,415
27Q323,Scholars' Academy,588,560,568
27Q324,Rockaway Park High School for Environmental Sustai,357,381,376
27Q351,Rockaway Collegiate High School,399,403,405
27Q400,August Martin High School,366,372,364
27Q475,Richmond Hill High School,413,406,399
27Q480,John Adams High School,418,401,395
27Q650,"High School for Construction Trades, Engineering a",489,457,451
28Q284,York Early College Academy,496,481,473
28Q310,Queens Collegiate: A College Board School,455,439,441
28Q325,Hillside Arts & Letters Academy,409,399,404
28Q328,High School for Community Leadership,415,392,386
28Q350,Jamaica Gateway to the Sciences,487,460,463
28Q440,Forest Hills High School,517,485,483
28Q505,Hillcrest High School,448,432,426
28Q620,Thomas A. Edison Career and Technical Education Hi,514,473,470
28Q680,Queens Gateway to Health Sciences Secondary School,524,511,514
28Q686,QUEENS METROPOLITAN HIGH SCHOOL,460,448,449
28Q687,Queens High School for the Sciences at York Colleg,701,621,625
28Q690,High School for Law Enforcement and Public Safety,410,431,409
28Q896,"Young Women's Leadership School, Queens",415,420,433
29Q248,Queens Preparatory Academy,423,422,403
29Q259,Pathways College Preparatory School: A College Boa,405,427,409
29Q265,Excelsior Preparatory High School,384,407,400
29Q272,George Washington Carver High School for the Scien,439,428,419
29Q283,Preparatory Academy for Writers: A College Board S,398,410,393
29Q326,Cambria Heights Academy,418,424,411
29Q492,"Mathematics, Science Research and Technology Magne",380,418,388
29Q494,"Law, Government and Community Service High School",387,386,388
29Q496,"Business, Computer Applications & Entrepreneurship",382,402,364
29Q498,Humanities & Arts Magnet High School,384,409,401
30Q286,"Young Women's Leadership School, Astoria",483,464,477
30Q301,Academy for Careers in Television and Film,444,458,444
30Q445,William Cullen Bryant High School,466,424,426
30Q450,Long Island City High School,430,423,412
30Q501,Frank Sinatra School of the Arts High School,536,543,543
30Q502,Information Technology High School,443,420,411
30Q555,Newcomers High School,490,374,381
30Q575,Academy of American Studies,495,482,479
30Q580,Baccalaureate School for Global Education,633,620,628
31R047,CSI High School for International Studies,477,468,464
31R064,Gaynor McCown Expeditionary Learning School,442,458,454
31R080,The Michael J. Petrides School,483,473,470
31R440,New Dorp High School,454,446,444
31R445,Port Richmond High School,432,427,425
31R450,Curtis High School,453,458,444
31R455,Tottenville High School,494,476,476
31R460,Susan E. Wagner High School,496,490,487
31R600,Ralph R. McKee Career and Technical Education High,420,429,409
31R605,Staten Island Technical High School,711,660,670
32K403,Academy for Environmental Leadership,365,366,348
32K545,EBC High School for Public Service - Bushwick,389,374,378
32K549,Bushwick School for Social Justice,365,357,357
32K552,Academy of Urban Planning,392,374,379
32K554,All City Leadership Secondary School,467,446,448
32K556,Bushwick Leaders High School for Academic Excellen,393,368,382
84K356,Achievement First Crown Heights Charter School,484,421,431
84K357,KIPP AMP Charter School,452,411,418
84K359,The Uft Charter School,386,374,373
84K473,Williamsburg Charter High School,406,408,395
84K508,Achievement First Endeavor Charter School,452,426,452
84K538,Achievement First Bushwick Charter School,507,448,478
84K693,Northside Charter High School,397,411,402
84M279,The Opportunity Charter School,369,382,365
84M335,Harlem Village Academy Leadership Charter School,480,463,465
84M336,KIPP Infinity Charter School,489,441,432
84M350,Democracy Prep Charter School,505,467,497
84M353,New Heights Academy Charter School,457,415,406
84M433,Renaissance Charter High School for Innovation,372,393,389
84M709,Harlem Village Academy Charter School,487,467,456
84M726,KIPP STAR College Prep Charter School,455,418,411
84Q705,Renaissance Charter School,459,452,481
84X185,Bronx Lighthouse Charter School,463,457,443
84X345,Hyde Leadership Charter School,428,424,422
84X347,International Leadership Charter High School,413,421,435
84X393,University Prep Charter High School,449,431,416
84X395,"NYC Charter High School for Architecture, Engineer",376,397,380
84X539,New Visions Charter High School for Advanced Math,419,412,416
84X553,New Visions Charter High School for the Humanities,377,388,369
84X704,KIPP Academy Charter School,516,466,473
